Disease trait	EFO term	EFO URI	Parent term	Parent URI
Hypersomnia during a major depressive episode in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Initial pursuit acceleration in psychotic disorders	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Manic episodes in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Migraine in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Migraine in psychiatric disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Objective response to lithium treatment	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Objective response to lithium treatment in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Personality traits in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Psychiatric diseases (pleiotropy) (HIPO component 1)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Psychiatric disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Psychiatric disorder without cannabis use disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Pursuit maintenance gain in psychotic disorders	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to ketamine in bipolar disorder or major depression (antidepressant effects)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to ketamine in bipolar disorder or major depression (dissociation effects)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to lithium treatment in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Schizophrenia or bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Schizophrenia, bipolar disorder and depression (combined)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Schizophrenia, schizoaffective disorder or bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Seasonality and depression	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Seasonality in depression	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Subjective response to lithium treatment	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Subjective response to lithium treatment in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Suicidal ideation in depression or bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Suicide attempts in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Suicide attempts in bipolar disorder or schizophrenia	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Suicide attempts in depression or bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Suicide attempts in major depressive disorder or bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Suicide in bipolar disorder	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Temperament (bipolar disorder)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
White matter integrity (bipolar disorder risk interaction)	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Early cardiac repolarization	TPE interval measurement	http://www.ebi.ac.uk/efo/EFO_0004644	Cardiovascular measurement	http://www.ebi.ac.uk/efo/EFO_0004298
Glomerular filtration rate change in heart transplantation	GFR change measurement	http://www.ebi.ac.uk/efo/EFO_0006829	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Kidney function decline traits	GFR change measurement	http://www.ebi.ac.uk/efo/EFO_0006829	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Trans fatty acid levels	trans-16:1n-7 fatty acid measurement	http://www.ebi.ac.uk/efo/EFO_0006822	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Trans fatty acid levels	total trans-18:1 fatty acid measurement	http://www.ebi.ac.uk/efo/EFO_0006823	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Sweet beverage consumption	sweet beverage consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010090	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Trans fatty acid levels	cis/trans-18:2 fatty acid measurement	http://www.ebi.ac.uk/efo/EFO_0006824	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Tea consumption	tea consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010091	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Trans fatty acid levels	trans/cis-18:2 fatty acid measurement	http://www.ebi.ac.uk/efo/EFO_0006825	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Barrett's esophagus	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Barrett's esophagus  or Esophageal adenocarcinoma	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Barrett's esophagus x BMI interaction	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Barrett's esophagus x gastroesophageal reflux disease interaction	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Barrett's esophagus x pack-years of smoking exposure interaction	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Barrett's esophagus x smoking interaction	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined)	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Multiple traits (pleiotropy)	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Crohn's disease-related phenotypes	complicated disease course	http://www.ebi.ac.uk/efo/EFO_0006820	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Trans fatty acid levels	trans fatty acid measurement	http://www.ebi.ac.uk/efo/EFO_0006821	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Male-pattern baldness	Alopecia	http://www.orpha.net/ORDO/Orphanet_79364	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Thiopurine-induced alopecia in inflammatory bowel disease	Alopecia	http://www.orpha.net/ORDO/Orphanet_79364	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Thiopurine-induced alopecia in inflammatory bowel disease (conditioned on rs116855232)	Alopecia	http://www.orpha.net/ORDO/Orphanet_79364	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Thiopurine-induced severe alopecia in inflammatory bowel disease	Alopecia	http://www.orpha.net/ORDO/Orphanet_79364	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Thiopurine-induced severe alopecia in inflammatory bowel disease (conditioned on rs116855232)	Alopecia	http://www.orpha.net/ORDO/Orphanet_79364	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Cortisol secretion	cortisol secretion measurement	http://www.ebi.ac.uk/efo/EFO_0004642	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Obesity-related traits	cortisol secretion measurement	http://www.ebi.ac.uk/efo/EFO_0004642	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Benign prostatic hyperplasia	benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Benign prostatic hyperplasia and lower urinary tract symptoms	benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)	benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Benign prostatic hyperplasia and/or lower urinary tract symptoms	benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
White matter integrity	white matter integrity	http://www.ebi.ac.uk/efo/EFO_0004641	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
White matter integrity (bipolar disorder risk interaction)	white matter integrity	http://www.ebi.ac.uk/efo/EFO_0004641	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
White matter integrity (fractional anisotropy)	white matter integrity	http://www.ebi.ac.uk/efo/EFO_0004641	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
White matter integrity (mean diffusivity)	white matter integrity	http://www.ebi.ac.uk/efo/EFO_0004641	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Blood protein levels	haptoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004640	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Haptoglobin levels	haptoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004640	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Plasma haptoglobin levels in type 2 diabetes	haptoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004640	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Urinary haptoglobin levels in type 2 diabetes	haptoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004640	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Bitter beverage consumption	bitter beverage consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010089	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Breast cancer (HER2 positive)	HER2 positive breast carcinoma	http://www.ebi.ac.uk/efo/EFO_1000294	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Dentate gyrus volume	dentate gyrus volume measurement	http://www.ebi.ac.uk/efo/EFO_0010083	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Dentate gyrus volume x schizophrenia interaction	dentate gyrus volume measurement	http://www.ebi.ac.uk/efo/EFO_0010083	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Meningococcal C IgG concentrations post childhood immunization	anti-meningococcal C IgG measurement	http://www.ebi.ac.uk/efo/EFO_0010084	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Tetanus toxoid IgG concentrations post childhood immunization	anti-tetanus toxoid IgG measurement	http://www.ebi.ac.uk/efo/EFO_0010085	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Haemophilus influenza type b polyribosylribitol phosphate IgG concentrations post childhood immunization	anti-Haemophilus influenzae type b polyribosylribitol phosphate IgG measurement	http://www.ebi.ac.uk/efo/EFO_0010086	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Meningococcal C functional antibody titers post childhood immunization	anti-meningococcal C serum bactericidal antibody measurement	http://www.ebi.ac.uk/efo/EFO_0010087	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Glucose homeostasis traits	glucose effectiveness measurement	http://www.ebi.ac.uk/efo/EFO_0006833	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Sepsis from pneumonia (survival)	septic shock	http://www.ebi.ac.uk/efo/EFO_0006834	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Pyoderma gangrenosum in inflammatory bowel disease	pyoderma gangrenosum	http://www.ebi.ac.uk/efo/EFO_0006835	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Kidney function decline traits	rapid kidney function decline	http://www.ebi.ac.uk/efo/EFO_0006836	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Glucose homeostasis traits	insulin metabolic clearance rate measurement	http://www.ebi.ac.uk/efo/EFO_0006830	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Acute insulin response	acute insulin response measurement	http://www.ebi.ac.uk/efo/EFO_0006831	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Acute insulin response (insulin secretion adjusted)	acute insulin response measurement	http://www.ebi.ac.uk/efo/EFO_0006831	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Acute insulin response (insulin secretion and BMI adjusted)	acute insulin response measurement	http://www.ebi.ac.uk/efo/EFO_0006831	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Glucose homeostasis traits	acute insulin response measurement	http://www.ebi.ac.uk/efo/EFO_0006831	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Bladder cancer	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Bladder cancer (smoking interaction)	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-muscle-invasive bladder cancer EORTC risk category	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-muscle-invasive bladder cancer age at diagnosis	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-muscle-invasive bladder cancer age at diagnosis (< 70 years vs ≥ 70 years)	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-muscle-invasive bladder cancer tumour grade (G3 vs G2/G1)	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-muscle-invasive bladder cancer tumour size	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-muscle-invasive bladder cancer tumour size (< 3 cm vs ≥ 3 cm)	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-muscle-invasive bladder cancer tumour stage (Tis/T1 vs Ta)	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Urinary bladder cancer	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Glucose homeostasis traits	disposition index measurement	http://www.ebi.ac.uk/efo/EFO_0006832	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Insulin disposition index	disposition index measurement	http://www.ebi.ac.uk/efo/EFO_0006832	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Insulin disposition index (BMI adjusted)	disposition index measurement	http://www.ebi.ac.uk/efo/EFO_0006832	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Anti-adalimumab antibody production in response to treatment in Crohn's disease	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Infliximab-induced mucosal healing in Crohn's disease	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to TNF antagonist treatment	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to TNF inhibitor in rheumatoid arthritis (change in disease activity score)	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to TNF inhibitor in rheumatoid arthritis (change in patient global heath assessment score)	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to TNF inhibitor in rheumatoid arthritis (change in swollen 28-joint count)	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to TNF inhibitor in rheumatoid arthritis (change in tender 28-joint count)	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to TNF inhibitor in rheumatoid arthritis (erythrocyte sedimentation rate)	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to TNF-alpha inhibitors in rheumatoid arthritis	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to anti-TNF alpha therapy in inflammatory bowel disease	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to anti-TNF therapy in rheumatoid arthritis	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to anti-TNF treatment (adalimumab, etanercept or infliximab) in rheumatoid arthritis	response to tnf antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Idiopathic intracranial hypertension	pseudotumor cerebri	http://www.ebi.ac.uk/efo/EFO_1001132	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Bitter alcoholic beverage consumption	bitter alcoholic beverage consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010092	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Bitter non-alcoholic beverage consumption	bitter non-alcoholic beverage consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010093	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Grapefruit juice consumption	grapefruit juice consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010094	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pure non-grapefruit juice consumption	non-grapefruit juice consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010095	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Artificially sweetened beverage consumption	artificially sweetened beverage consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010096	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Sugar-sweetened beverage consumption	sugar sweetened beverage consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010097	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Anxiety and stress-related disorders	stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Anxiety and stress-related disorders (excluding adjustment disorder)	stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Anxiety and stress-related disorders (excluding co-morbid schizophrenia)	stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Anxiety and stress-related disorders (including obsessive-compulsive disorder)	stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Anxiety and stress-related disorders (propensity-score-matching design)	stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Anxiety and stress-related disorders (psychiatric co-morbidity covariate model)	stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Anxiety and stress-related disorders (psychiatric co-morbidity weighting design)	stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Stress-related disorders	stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Chronic widespread pain	chronic widespread pain	http://www.ebi.ac.uk/efo/EFO_0010099	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Dupuytren's disease	dupuytren contracture	http://www.ebi.ac.uk/efo/EFO_0004229	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Carbamazepine-induced liver injury	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced cholestatic/mixed liver injury	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced hepatocellular liver injury	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (amoxicillin)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (amoxicillin-clavulanate)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (anti-tuberculosis drugs)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (diclofenac)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (flucloxacillin)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (fluoroquinolones)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (isoxazolyl penicillins)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (nitrofurantoin)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (nonsteroidal anti-inflammatory drugs)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (statins)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury (terbinafine)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Drug-induced liver injury in interferon-beta-treated multiple sclerosis	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Lapatinib-induced hepatotoxicity	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Liver injury in anti-retroviral drug treated HIV	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Liver injury in anti-tuberculosis drug treatment	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Liver injury in combined anti-retroviral and anti-tuberculosis drug-treated HIV with tuberculosis	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Lumiracoxib-related liver injury	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Nevirapine-induced hypersensitivity in HIV (drug-induced liver injury)	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Platinum-induced hepatotoxicity in non-small cell lung cancer	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Left superior temporal gyrus thickness (schizophrenia interaction)	left superior temporal gyrus thickness measurement	http://www.ebi.ac.uk/efo/EFO_0007739	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Dengue shock syndrome	dengue hemorrhagic fever	http://www.ebi.ac.uk/efo/EFO_0004227	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Creutzfeldt-Jakob disease	creutzfeldt jacob disease	http://www.ebi.ac.uk/efo/EFO_0004226	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
