	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
7422	GCST006960	Inflammatory bowel disease	Inflammatory bowel disease	Immune system disorder
7423	GCST006960	Inflammatory bowel disease	Inflammatory bowel disease	Digestive system disorder
7424	GCST003178	Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	Response to drug
7425	GCST003178	Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	Other measurement
7426	GCST003178	Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	Cancer
7427	GCST003251	Late-onset myasthenia gravis	Late-onset myasthenia gravis	Neurological disorder
7428	GCST003151	White matter lesion progression	White matter lesion progression	Other measurement
7429	GCST003157	Plasma homocysteine levels	Plasma homocysteine levels	Cardiovascular measurement
7430	GCST003247	Testicular germ cell tumor	Testicular germ cell tumor	Cancer
7431	GCST003247	Testicular germ cell tumor	Testicular germ cell tumor	Cancer
7432	GCST003246	Testicular germ cell tumor	Testicular germ cell tumor	Cancer
7433	GCST003246	Testicular germ cell tumor	Testicular germ cell tumor	Cancer
7434	GCST003161	Objective response to lithium treatment in bipolar disorder	Objective response to lithium treatment in bipolar disorder	Response to drug
7435	GCST003161	Objective response to lithium treatment in bipolar disorder	Objective response to lithium treatment in bipolar disorder	Neurological disorder
7436	GCST003159	Objective response to lithium treatment	Objective response to lithium treatment	Response to drug
7437	GCST003159	Objective response to lithium treatment	Objective response to lithium treatment	Neurological disorder
7438	GCST003160	Subjective response to lithium treatment in bipolar disorder	Subjective response to lithium treatment in bipolar disorder	Response to drug
7439	GCST003160	Subjective response to lithium treatment in bipolar disorder	Subjective response to lithium treatment in bipolar disorder	Neurological disorder
7440	GCST003158	Subjective response to lithium treatment	Subjective response to lithium treatment	Response to drug
7441	GCST003158	Subjective response to lithium treatment	Subjective response to lithium treatment	Neurological disorder
7442	GCST003156	Systemic lupus erythematosus	Systemic lupus erythematosus	Immune system disorder
7443	GCST003155	Systemic lupus erythematosus	Systemic lupus erythematosus	Immune system disorder
7444	GCST003154	Peripheral artery disease	Peripheral artery disease	Cardiovascular disease
7445	GCST003200	Fentanyl consumption in laparoscopic-assisted colectomy (first 24 hours)	Fentanyl consumption in laparoscopic-assisted colectomy (first 24 hours)	Other measurement
7446	GCST003194	Fibrinogen levels	Fibrinogen levels	Hematological measurement
7447	GCST003224	Response to anthracycline-based chemotherapy in breast cancer (pathologic complete response)	Response to anthracycline-based chemotherapy in breast cancer (pathologic complete response)	Other measurement
7448	GCST003224	Response to anthracycline-based chemotherapy in breast cancer (pathologic complete response)	Response to anthracycline-based chemotherapy in breast cancer (pathologic complete response)	Cancer
7449	GCST003224	Response to anthracycline-based chemotherapy in breast cancer (pathologic complete response)	Response to anthracycline-based chemotherapy in breast cancer (pathologic complete response)	Response to drug
7450	GCST003183	Setpoint viral load in HIV-1 infection	Setpoint viral load in HIV-1 infection	Other measurement
7451	GCST003183	Setpoint viral load in HIV-1 infection	Setpoint viral load in HIV-1 infection	Other disease
7452	GCST003232	Response to Pazopanib in cancer (hepatotoxicity)	Response to Pazopanib in cancer (hepatotoxicity)	Liver enzyme measurement
7453	GCST003232	Response to Pazopanib in cancer (hepatotoxicity)	Response to Pazopanib in cancer (hepatotoxicity)	Response to drug
7454	GCST003232	Response to Pazopanib in cancer (hepatotoxicity)	Response to Pazopanib in cancer (hepatotoxicity)	Cancer
7455	GCST003225	Pelvic organ prolapse (moderate/severe)	Pelvic organ prolapse (moderate/severe)	Other disease
7456	GCST003180	Atopic march	Atopic march	Biological process
7457	GCST003180	Atopic march	Atopic march	Immune system disorder
7458	GCST003180	Atopic march	Atopic march	Other disease
7459	GCST003226	Pelvic organ prolapse	Pelvic organ prolapse	Other disease
7460	GCST003179	Multiple system atrophy	Multiple system atrophy	Neurological disorder
7461	GCST003221	Gut microbiome composition (summer)	Gut microbiome composition (summer)	Other measurement
7462	GCST008436	Nonobstructive coronary artery disease	Nonobstructive coronary artery disease	Cardiovascular disease
7463	GCST003223	Gut microbiome composition (winter)	Gut microbiome composition (winter)	Other measurement
7464	GCST003222	Gut microbiome composition (summer and winter)	Gut microbiome composition (summer and winter)	Other measurement
7465	GCST005879	Collagenous colitis	Collagenous colitis	Immune system disorder
7466	GCST003192	Coronary artery aneurysm in Kawasaki disease	Coronary artery aneurysm in Kawasaki disease	Immune system disorder
7467	GCST003192	Coronary artery aneurysm in Kawasaki disease	Coronary artery aneurysm in Kawasaki disease	Cardiovascular disease
7468	GCST005560	Menopause (age at onset)	Menopause (age at onset)	Other measurement
7469	GCST005354	Height	Height	Other measurement
7470	GCST005354	Height	Height	Body measurement
7471	GCST005312	Menopause (age at onset)	Menopause (age at onset)	Other measurement
7472	GCST003174	Sense of smell	Sense of smell	Biological process
7473	GCST003239	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	Lipid or lipoprotein measurement
7474	GCST003239	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	Lipid or lipoprotein measurement
7475	GCST003240	Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)	Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)	Lipid or lipoprotein measurement
7476	GCST003175	Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	Neurological disorder
7477	GCST003217	Triglycerides	Triglycerides	Lipid or lipoprotein measurement
7478	GCST003215	HDL cholesterol	HDL cholesterol	Lipid or lipoprotein measurement
7479	GCST003216	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
7480	GCST003216	LDL cholesterol	LDL cholesterol	Other measurement
7481	GCST003216	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
7482	GCST003214	Cholesterol, total	Cholesterol, total	Lipid or lipoprotein measurement
7483	GCST003182	Staphylococcus aureus nasal carriage (persistent)	Staphylococcus aureus nasal carriage (persistent)	Other measurement
7484	GCST003181	Staphylococcus aureus nasal carriage (intermittent)	Staphylococcus aureus nasal carriage (intermittent)	Other measurement
7485	GCST003190	Schizophrenia	Schizophrenia	Neurological disorder
7486	GCST003149	Skin and soft tissue Staphylococcus aureus infection	Skin and soft tissue Staphylococcus aureus infection	Other disease
7487	GCST003152	White matter lesion progression (adjusted for white matter lesion burden at baseline)	White matter lesion progression (adjusted for white matter lesion burden at baseline)	Other measurement
7488	GCST003150	Staphylococcus aureus infection	Staphylococcus aureus infection	Other disease
7489	GCST003148	Prostate cancer	Prostate cancer	Cancer
7490	GCST003185	Nicotine dependence	Nicotine dependence	Neurological disorder
7491	GCST003147	Plasma lactate levels	Plasma lactate levels	Other measurement
7492	GCST003220	Glioblastoma	Glioblastoma	Cancer
7493	GCST003220	Glioblastoma	Glioblastoma	Cancer
7494	GCST003220	Glioblastoma	Glioblastoma	Cancer
7495	GCST003207	Response to exercise (triglyceride level interaction)	Response to exercise (triglyceride level interaction)	Biological process
7496	GCST003207	Response to exercise (triglyceride level interaction)	Response to exercise (triglyceride level interaction)	Lipid or lipoprotein measurement
7497	GCST003210	Low vWF levels	Low vWF levels	Hematological measurement
7498	GCST003099	Diabetic kidney disease	Diabetic kidney disease	Metabolic disorder
7499	GCST003100	Prostate cancer (survival)	Prostate cancer (survival)	Cancer
7500	GCST003100	Prostate cancer (survival)	Prostate cancer (survival)	Other measurement
7501	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7502	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Digestive system disorder
7503	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7504	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7505	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7506	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7507	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7508	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7509	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Metabolic disorder
7510	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7511	GCST003097	Pediatric autoimmune diseases	Pediatric autoimmune diseases	Immune system disorder
7512	GCST003095	Adiponectin levels (BMI-adjusted)	Adiponectin levels (BMI-adjusted)	Other measurement
7513	GCST003096	Adiponectin levels	Adiponectin levels	Other measurement
7514	GCST003094	Mitral valve prolapse	Mitral valve prolapse	Cardiovascular disease
7515	GCST003092	Myositis	Myositis	Immune system disorder
7516	GCST005545	Lumbar spine bone mineral density	Lumbar spine bone mineral density	Other measurement
7517	GCST005545	Lumbar spine bone mineral density	Lumbar spine bone mineral density	Other measurement
7518	GCST005544	Femoral neck bone mineral density	Femoral neck bone mineral density	Other measurement
7519	GCST003228	Glioma	Glioma	Cancer
7520	GCST003228	Glioma	Glioma	Cancer
7521	GCST003146	Postburn hypertrophic scarring severity	Postburn hypertrophic scarring severity	Other measurement
7522	GCST003227	Non-glioblastoma glioma	Non-glioblastoma glioma	Cancer
7523	GCST003227	Non-glioblastoma glioma	Non-glioblastoma glioma	Cancer
7524	GCST003145	Severe malaria	Severe malaria	Digestive system disorder
7525	GCST003143	Lung disease severity in cystic fibrosis	Lung disease severity in cystic fibrosis	Other disease
7526	GCST003143	Lung disease severity in cystic fibrosis	Lung disease severity in cystic fibrosis	Other measurement
7527	GCST003143	Lung disease severity in cystic fibrosis	Lung disease severity in cystic fibrosis	Other disease
7528	GCST003144	Polycystic ovary syndrome	Polycystic ovary syndrome	Other disease
7529	GCST006879	Blood metabolite levels	Blood metabolite levels	Other measurement
7530	GCST006879	Blood metabolite levels	Blood metabolite levels	Other measurement
7531	GCST006879	Blood metabolite levels	Blood metabolite levels	Other measurement
7532	GCST006879	Blood metabolite levels	Blood metabolite levels	Other measurement
7533	GCST003130	Autism spectrum disorder	Autism spectrum disorder	Neurological disorder
7534	GCST003128	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
7535	GCST003128	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
7536	GCST003272	Systolic blood pressure	Systolic blood pressure	Other measurement
7537	GCST003272	Systolic blood pressure	Systolic blood pressure	Other measurement
7538	GCST003273	Diastolic blood pressure	Diastolic blood pressure	Other measurement
7539	GCST003273	Diastolic blood pressure	Diastolic blood pressure	Other measurement
7540	GCST003275	Mean arterial pressure	Mean arterial pressure	Other measurement
7541	GCST003274	Pulse pressure	Pulse pressure	Cardiovascular measurement
7542	GCST003276	Hypertension	Hypertension	Cardiovascular disease
7543	GCST003119	Urinary metabolites	Urinary metabolites	Other measurement
7544	GCST003119	Urinary metabolites	Urinary metabolites	Other measurement
7545	GCST003118	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	Response to drug
7546	GCST003118	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	Neurological disorder
7547	GCST003116	Coronary artery disease	Coronary artery disease	Cardiovascular disease
7548	GCST003116	Coronary artery disease	Coronary artery disease	Cardiovascular disease
7549	GCST003117	Myocardial infarction	Myocardial infarction	Cardiovascular disease
7550	GCST003115	Rotator cuff tears	Rotator cuff tears	Other disease
7551	GCST003114	Carotid intima media thickness	Carotid intima media thickness	Other measurement
7552	GCST003114	Carotid intima media thickness	Carotid intima media thickness	Cardiovascular measurement
7553	GCST003114	Carotid intima media thickness	Carotid intima media thickness	Cardiovascular disease
7554	GCST003127	Lipoprotein (a) levels	Lipoprotein (a) levels	Lipid or lipoprotein measurement
7555	GCST003123	Severe influenza A (H1N1) infection	Severe influenza A (H1N1) infection	Other disease
7556	GCST003124	Mild influenza (H1N1) infection	Mild influenza (H1N1) infection	Other disease
7557	GCST003125	Influenza A (H1N1) infection	Influenza A (H1N1) infection	Other disease
7558	GCST003126	Influenza A (H1N1) severity	Influenza A (H1N1) severity	Other measurement
7559	GCST005538	Sarcoidosis	Sarcoidosis	Other disease
7560	GCST003121	Alcohol dependence	Alcohol dependence	Other measurement
7561	GCST003121	Alcohol dependence	Alcohol dependence	Neurological disorder
7562	GCST003122	Hemoglobin levels	Hemoglobin levels	Hematological measurement
7563	GCST003122	Hemoglobin levels	Hemoglobin levels	Hematological measurement
7564	GCST003122	Hemoglobin levels	Hemoglobin levels	Hematological measurement
7565	GCST003122	Hemoglobin levels	Hemoglobin levels	Hematological measurement
7566	GCST003120	Extraversion	Extraversion	Biological process
7567	GCST003120	Extraversion	Extraversion	Other measurement
7568	GCST003108	Antipsychotic drug-induced weight gain (time interaction)	Antipsychotic drug-induced weight gain (time interaction)	Body measurement
7569	GCST003108	Antipsychotic drug-induced weight gain (time interaction)	Antipsychotic drug-induced weight gain (time interaction)	Other trait
7570	GCST003109	Antipsychotic drug-induced weight gain	Antipsychotic drug-induced weight gain	Other trait
7571	GCST003106	Low bone mineral density (spine)	Low bone mineral density (spine)	Other measurement
7572	GCST003105	Low bone mineral density (hip)	Low bone mineral density (hip)	Other measurement
7573	GCST003104	Autism spectrum disorder	Autism spectrum disorder	Neurological disorder
7574	GCST003103	Systemic lupus erythematosus	Systemic lupus erythematosus	Immune system disorder
7575	GCST003101	Bone mineral density (spine) and age at menarche	Bone mineral density (spine) and age at menarche	Other measurement
7576	GCST003101	Bone mineral density (spine) and age at menarche	Bone mineral density (spine) and age at menarche	Other measurement
7577	GCST003102	Bone mineral density (hip) and age at menarche	Bone mineral density (hip) and age at menarche	Other measurement
7578	GCST003102	Bone mineral density (hip) and age at menarche	Bone mineral density (hip) and age at menarche	Other measurement
7579	GCST008643	Joint damage in rheumatoid arthritis	Joint damage in rheumatoid arthritis	Immune system disorder
7580	GCST008643	Joint damage in rheumatoid arthritis	Joint damage in rheumatoid arthritis	Other measurement
7581	GCST003098	Diabetic kidney disease	Diabetic kidney disease	Metabolic disorder
7582	GCST003113	Cingulate cortical amyloid beta load	Cingulate cortical amyloid beta load	Other measurement
7583	GCST003113	Cingulate cortical amyloid beta load	Cingulate cortical amyloid beta load	Other measurement
7584	GCST003110	Post-bronchodilator lung function in asthma (FEV1)	Post-bronchodilator lung function in asthma (FEV1)	Other measurement
7585	GCST003110	Post-bronchodilator lung function in asthma (FEV1)	Post-bronchodilator lung function in asthma (FEV1)	Response to drug
7586	GCST003110	Post-bronchodilator lung function in asthma (FEV1)	Post-bronchodilator lung function in asthma (FEV1)	Other measurement
7587	GCST003110	Post-bronchodilator lung function in asthma (FEV1)	Post-bronchodilator lung function in asthma (FEV1)	Other disease
7588	GCST003107	Post-bronchodilator lung function in asthma (FEV1/FVC)	Post-bronchodilator lung function in asthma (FEV1/FVC)	Other measurement
7589	GCST003107	Post-bronchodilator lung function in asthma (FEV1/FVC)	Post-bronchodilator lung function in asthma (FEV1/FVC)	Other measurement
7590	GCST003107	Post-bronchodilator lung function in asthma (FEV1/FVC)	Post-bronchodilator lung function in asthma (FEV1/FVC)	Response to drug
7591	GCST003107	Post-bronchodilator lung function in asthma (FEV1/FVC)	Post-bronchodilator lung function in asthma (FEV1/FVC)	Other disease
7592	GCST003132	Eating disorder in bipolar disorder	Eating disorder in bipolar disorder	Metabolic disorder
7593	GCST003132	Eating disorder in bipolar disorder	Eating disorder in bipolar disorder	Neurological disorder
7594	GCST003136	Bipolar disorder	Bipolar disorder	Neurological disorder
7595	GCST003135	Bipolar disorder and eating disorder	Bipolar disorder and eating disorder	Metabolic disorder
7596	GCST003135	Bipolar disorder and eating disorder	Bipolar disorder and eating disorder	Neurological disorder
7597	GCST003142	Proteinuria in chronic kidney disease	Proteinuria in chronic kidney disease	Other disease
7598	GCST003142	Proteinuria in chronic kidney disease	Proteinuria in chronic kidney disease	Other trait
7599	GCST003138	Juvenile osteochondritis dissecans	Juvenile osteochondritis dissecans	Other trait
7600	GCST003139	Glomerular filtration rate in chronic kidney disease	Glomerular filtration rate in chronic kidney disease	Other disease
7601	GCST003139	Glomerular filtration rate in chronic kidney disease	Glomerular filtration rate in chronic kidney disease	Other measurement
7602	GCST003141	Proteinuria and chronic kidney disease	Proteinuria and chronic kidney disease	Other disease
7603	GCST003141	Proteinuria and chronic kidney disease	Proteinuria and chronic kidney disease	Other trait
7604	GCST003140	Chronic kidney disease	Chronic kidney disease	Other disease
7605	GCST003140	Chronic kidney disease	Chronic kidney disease	Other measurement
7606	GCST003140	Chronic kidney disease	Chronic kidney disease	Other measurement
7607	GCST003048	Schizophrenia	Schizophrenia	Neurological disorder
7608	GCST003049	Lung cancer (asbestos exposure interaction)	Lung cancer (asbestos exposure interaction)	Cancer
7609	GCST003049	Lung cancer (asbestos exposure interaction)	Lung cancer (asbestos exposure interaction)	Other measurement
7610	GCST003046	Trichloroethylene-induced hypersensitivity syndrome	Trichloroethylene-induced hypersensitivity syndrome	Biological process
7611	GCST003047	Atrioventricular septal defects in Down syndrome	Atrioventricular septal defects in Down syndrome	Cardiovascular disease
7612	GCST003047	Atrioventricular septal defects in Down syndrome	Atrioventricular septal defects in Down syndrome	Other trait
7613	GCST003042	Sight-threatening diabetic retinopathy in type 2 diabetes	Sight-threatening diabetic retinopathy in type 2 diabetes	Metabolic disorder
7614	GCST003042	Sight-threatening diabetic retinopathy in type 2 diabetes	Sight-threatening diabetic retinopathy in type 2 diabetes	Metabolic disorder
7615	GCST003017	Colorectal cancer	Colorectal cancer	Cancer
7616	GCST003018	Thionamide-induced agranulocytosis in Graves' disease	Thionamide-induced agranulocytosis in Graves' disease	Immune system disorder
7617	GCST003018	Thionamide-induced agranulocytosis in Graves' disease	Thionamide-induced agranulocytosis in Graves' disease	Response to drug
7618	GCST003018	Thionamide-induced agranulocytosis in Graves' disease	Thionamide-induced agranulocytosis in Graves' disease	Other trait
7619	GCST003016	Hypersomnia during a major depressive episode in bipolar disorder	Hypersomnia during a major depressive episode in bipolar disorder	Neurological disorder
7620	GCST003016	Hypersomnia during a major depressive episode in bipolar disorder	Hypersomnia during a major depressive episode in bipolar disorder	Other trait
7621	GCST003016	Hypersomnia during a major depressive episode in bipolar disorder	Hypersomnia during a major depressive episode in bipolar disorder	Neurological disorder
7622	GCST003015	Alcohol consumption	Alcohol consumption	Biological process
7623	GCST003015	Alcohol consumption	Alcohol consumption	Other measurement
7624	GCST003014	Postprandial triglyceride response to high fat diet meal	Postprandial triglyceride response to high fat diet meal	Lipid or lipoprotein measurement
7625	GCST003014	Postprandial triglyceride response to high fat diet meal	Postprandial triglyceride response to high fat diet meal	Biological process
7626	GCST003013	White matter hyperintensity burden	White matter hyperintensity burden	Other measurement
7627	GCST003013	White matter hyperintensity burden	White matter hyperintensity burden	Other measurement
7628	GCST003627	Neuropathy in taxane-treated breast cancer	Neuropathy in taxane-treated breast cancer	Cancer
7629	GCST003627	Neuropathy in taxane-treated breast cancer	Neuropathy in taxane-treated breast cancer	Response to drug
7630	GCST003627	Neuropathy in taxane-treated breast cancer	Neuropathy in taxane-treated breast cancer	Neurological disorder
7631	GCST003627	Neuropathy in taxane-treated breast cancer	Neuropathy in taxane-treated breast cancer	Response to drug
7632	GCST003012	Obstructive sleep apnea	Obstructive sleep apnea	Neurological disorder
7633	GCST003011	Arthritis (juvenile idiopathic)	Arthritis (juvenile idiopathic)	Immune system disorder
7634	GCST006807	ACPA-negative rheumatoid arthritis (smoking interaction)	ACPA-negative rheumatoid arthritis (smoking interaction)	Other measurement
7635	GCST006807	ACPA-negative rheumatoid arthritis (smoking interaction)	ACPA-negative rheumatoid arthritis (smoking interaction)	Immune system disorder
7636	GCST006807	ACPA-negative rheumatoid arthritis (smoking interaction)	ACPA-negative rheumatoid arthritis (smoking interaction)	Immune system disorder
7637	GCST006410	ACPA-positive rheumatoid arthritis (smoking interaction)	ACPA-positive rheumatoid arthritis (smoking interaction)	Other measurement
7638	GCST006410	ACPA-positive rheumatoid arthritis (smoking interaction)	ACPA-positive rheumatoid arthritis (smoking interaction)	Immune system disorder
7639	GCST006410	ACPA-positive rheumatoid arthritis (smoking interaction)	ACPA-positive rheumatoid arthritis (smoking interaction)	Immune system disorder
7640	GCST005548	Parkinson's disease	Parkinson's disease	Neurological disorder
7641	GCST003085	Warfarin maintenance dose	Warfarin maintenance dose	Response to drug
7642	GCST003083	Glucocorticoid-induced osteonecrosis (time dependent analysis)	Glucocorticoid-induced osteonecrosis (time dependent analysis)	Other disease
7643	GCST003083	Glucocorticoid-induced osteonecrosis (time dependent analysis)	Glucocorticoid-induced osteonecrosis (time dependent analysis)	Response to drug
7644	GCST003084	Glucocorticoid-induced osteonecrosis	Glucocorticoid-induced osteonecrosis	Other disease
7645	GCST003084	Glucocorticoid-induced osteonecrosis	Glucocorticoid-induced osteonecrosis	Response to drug
7646	GCST003082	Longitudinal change in brain amyloid plaque burden	Longitudinal change in brain amyloid plaque burden	Other measurement
7647	GCST003081	Glucocorticoid-induced osteonecrosis (age 10 years and older)	Glucocorticoid-induced osteonecrosis (age 10 years and older)	Other disease
7648	GCST003081	Glucocorticoid-induced osteonecrosis (age 10 years and older)	Glucocorticoid-induced osteonecrosis (age 10 years and older)	Response to drug
7649	GCST003080	Glucocorticoid-induced osteonecrosis (time independent analysis)	Glucocorticoid-induced osteonecrosis (time independent analysis)	Other disease
7650	GCST003080	Glucocorticoid-induced osteonecrosis (time independent analysis)	Glucocorticoid-induced osteonecrosis (time independent analysis)	Response to drug
7651	GCST003073	Cerebral amyloid deposition (PET imaging)	Cerebral amyloid deposition (PET imaging)	Other measurement
7652	GCST003077	Cerebral amyloid deposition positivity (PET imaging)	Cerebral amyloid deposition positivity (PET imaging)	Other measurement
7653	GCST003076	Cerebral amyloid deposition in APOEe4 carriers (PET imaging)	Cerebral amyloid deposition in APOEe4 carriers (PET imaging)	Other measurement
7654	GCST003076	Cerebral amyloid deposition in APOEe4 carriers (PET imaging)	Cerebral amyloid deposition in APOEe4 carriers (PET imaging)	Other measurement
7655	GCST003079	Cerebrospinal fluid t-tau:AB1-42 ratio	Cerebrospinal fluid t-tau:AB1-42 ratio	Other measurement
7656	GCST003078	Cerebrospinal fluid p-Tau181p:AB1-42 ratio	Cerebrospinal fluid p-Tau181p:AB1-42 ratio	Other measurement
7657	GCST003071	Cerebrospinal P-tau181p levels	Cerebrospinal P-tau181p levels	Other measurement
7658	GCST003071	Cerebrospinal P-tau181p levels	Cerebrospinal P-tau181p levels	Other measurement
7659	GCST003070	Cerebrospinal T-tau levels	Cerebrospinal T-tau levels	Other measurement
7660	GCST003070	Cerebrospinal T-tau levels	Cerebrospinal T-tau levels	Other measurement
7661	GCST003074	Cerebral amyloid deposition in APOEe4 non-carriers (PET imaging)	Cerebral amyloid deposition in APOEe4 non-carriers (PET imaging)	Other measurement
7662	GCST003075	Cognitive decline rate in late mild cognitive impairment	Cognitive decline rate in late mild cognitive impairment	Other measurement
7663	GCST003075	Cognitive decline rate in late mild cognitive impairment	Cognitive decline rate in late mild cognitive impairment	Other trait
7664	GCST003069	Left superior temporal gyrus thickness (schizophrenia interaction)	Left superior temporal gyrus thickness (schizophrenia interaction)	Neurological disorder
7665	GCST003069	Left superior temporal gyrus thickness (schizophrenia interaction)	Left superior temporal gyrus thickness (schizophrenia interaction)	Other measurement
7666	GCST003072	Cerebrospinal fluid AB1-42 levels	Cerebrospinal fluid AB1-42 levels	Other measurement
7667	GCST003072	Cerebrospinal fluid AB1-42 levels	Cerebrospinal fluid AB1-42 levels	Other measurement
7668	GCST003065	Exploratory eye movement dysfunction in schizophrenia (responsive search score)	Exploratory eye movement dysfunction in schizophrenia (responsive search score)	Other measurement
7669	GCST003064	Exploratory eye movement dysfunction in schizophrenia (cognitive search score)	Exploratory eye movement dysfunction in schizophrenia (cognitive search score)	Other measurement
7670	GCST003068	Exploratory eye movement dysfunction in schizophrenia (number of eye fixations)	Exploratory eye movement dysfunction in schizophrenia (number of eye fixations)	Other measurement
7671	GCST003067	Exploratory eye movement dysfunction in schizophrenia (mean eye scanning length)	Exploratory eye movement dysfunction in schizophrenia (mean eye scanning length)	Other measurement
7672	GCST003066	Exploratory eye movement dysfunction in schizophrenia (total eye scanning length)	Exploratory eye movement dysfunction in schizophrenia (total eye scanning length)	Other measurement
7673	GCST003063	Neuropathic pain in type 2 diabetes	Neuropathic pain in type 2 diabetes	Metabolic disorder
7674	GCST003063	Neuropathic pain in type 2 diabetes	Neuropathic pain in type 2 diabetes	Other trait
7675	GCST003614	Opioid dependence	Opioid dependence	Neurological disorder
7676	GCST003062	Anthracycline-induced cardiotoxicity in childhood cancer	Anthracycline-induced cardiotoxicity in childhood cancer	Cardiovascular disease
7677	GCST003062	Anthracycline-induced cardiotoxicity in childhood cancer	Anthracycline-induced cardiotoxicity in childhood cancer	Cancer
7678	GCST003062	Anthracycline-induced cardiotoxicity in childhood cancer	Anthracycline-induced cardiotoxicity in childhood cancer	Response to drug
7679	GCST003061	Cutaneous malignant melanoma	Cutaneous malignant melanoma	Cancer
7680	GCST003060	Parkinson's disease in GBA mutation carriers (age at onset)	Parkinson's disease in GBA mutation carriers (age at onset)	Neurological disorder
7681	GCST003060	Parkinson's disease in GBA mutation carriers (age at onset)	Parkinson's disease in GBA mutation carriers (age at onset)	Other measurement
7682	GCST003060	Parkinson's disease in GBA mutation carriers (age at onset)	Parkinson's disease in GBA mutation carriers (age at onset)	Other measurement
7683	GCST003059	Parkinson's disease	Parkinson's disease	Neurological disorder
7684	GCST003058	Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	Cancer
7685	GCST003058	Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	Response to drug
7686	GCST003058	Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	Response to drug
7687	GCST003058	Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	Other measurement
7688	GCST003057	Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	Cancer
7689	GCST003057	Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	Response to drug
7690	GCST003057	Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	Response to drug
7691	GCST003057	Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	Other measurement
7692	GCST003054	Gait rhythm	Gait rhythm	Other measurement
7693	GCST003056	Gait variability	Gait variability	Other measurement
7694	GCST003055	Tandem gait	Tandem gait	Other measurement
7695	GCST003053	Cryptorchidism	Cryptorchidism	Other disease
7696	GCST003052	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
7697	GCST003052	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
7698	GCST003051	Multiple myeloma (survival)	Multiple myeloma (survival)	Other measurement
7699	GCST003051	Multiple myeloma (survival)	Multiple myeloma (survival)	Cancer
