	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
8184	GCST004624	Sum eosinophil basophil counts	Sum eosinophil basophil counts	Inflammatory measurement
8185	GCST004624	Sum eosinophil basophil counts	Sum eosinophil basophil counts	Hematological measurement
8186	GCST004624	Sum eosinophil basophil counts	Sum eosinophil basophil counts	Hematological measurement
8187	GCST004625	Monocyte count	Monocyte count	Hematological measurement
8188	GCST004626	Myeloid white cell count	Myeloid white cell count	Hematological measurement
8189	GCST004627	Lymphocyte counts	Lymphocyte counts	Hematological measurement
8190	GCST004628	Immature fraction of reticulocytes	Immature fraction of reticulocytes	Hematological measurement
8191	GCST004629	Neutrophil count	Neutrophil count	Hematological measurement
8192	GCST004630	Mean corpuscular hemoglobin	Mean corpuscular hemoglobin	Hematological measurement
8193	GCST004630	Mean corpuscular hemoglobin	Mean corpuscular hemoglobin	Hematological measurement
8194	GCST004631	Basophil percentage of white cells	Basophil percentage of white cells	Inflammatory measurement
8195	GCST004632	Lymphocyte percentage of white cells	Lymphocyte percentage of white cells	Hematological measurement
8196	GCST004633	Neutrophil percentage of white cells	Neutrophil percentage of white cells	Hematological measurement
8197	GCST004634	Basophil percentage of granulocytes	Basophil percentage of granulocytes	Inflammatory measurement
8198	GCST004599	Mean platelet volume	Mean platelet volume	Hematological measurement
8199	GCST004601	Red blood cell count	Red blood cell count	Hematological measurement
8200	GCST004867	Systemic lupus erythematosus	Systemic lupus erythematosus	Immune system disorder
8201	GCST005182	Common carotid intima-media thickness in HIV negative individuals	Common carotid intima-media thickness in HIV negative individuals	Cardiovascular measurement
8202	GCST005184	Common carotid intima-media thickness in HIV infection	Common carotid intima-media thickness in HIV infection	Other disease
8203	GCST005184	Common carotid intima-media thickness in HIV infection	Common carotid intima-media thickness in HIV infection	Cardiovascular measurement
8204	GCST005183	Common carotid intima-media thickness	Common carotid intima-media thickness	Cardiovascular measurement
8205	GCST006101	Cardiometabolic and hematological traits	Cardiometabolic and hematological traits	Hematological measurement
8206	GCST006101	Cardiometabolic and hematological traits	Cardiometabolic and hematological traits	Hematological measurement
8207	GCST006101	Cardiometabolic and hematological traits	Cardiometabolic and hematological traits	Cardiovascular measurement
8208	GCST006101	Cardiometabolic and hematological traits	Cardiometabolic and hematological traits	Hematological measurement
8209	GCST006101	Cardiometabolic and hematological traits	Cardiometabolic and hematological traits	Lipid or lipoprotein measurement
8210	GCST006101	Cardiometabolic and hematological traits	Cardiometabolic and hematological traits	Other measurement
8211	GCST006101	Cardiometabolic and hematological traits	Cardiometabolic and hematological traits	Hematological measurement
8212	GCST006101	Cardiometabolic and hematological traits	Cardiometabolic and hematological traits	Hematological measurement
8213	GCST005177	Rubella-specific interferon-gamma secretion	Rubella-specific interferon-gamma secretion	Response to drug
8214	GCST005177	Rubella-specific interferon-gamma secretion	Rubella-specific interferon-gamma secretion	Other measurement
8215	GCST005176	Rubella-specific interleukin-6 secretion	Rubella-specific interleukin-6 secretion	Response to drug
8216	GCST005176	Rubella-specific interleukin-6 secretion	Rubella-specific interleukin-6 secretion	Inflammatory measurement
8217	GCST005190	Nonalcoholic fatty liver disease	Nonalcoholic fatty liver disease	Digestive system disorder
8218	GCST005189	Tanning	Tanning	Other trait
8219	GCST005188	Skin pigmentation	Skin pigmentation	Other trait
8220	GCST005188	Skin pigmentation	Skin pigmentation	Other measurement
8221	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Digestive system disorder
8222	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Immune system disorder
8223	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Immune system disorder
8224	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Neurological disorder
8225	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Immune system disorder
8226	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	Immune system disorder
8227	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Digestive system disorder
8228	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Immune system disorder
8229	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Immune system disorder
8230	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Neurological disorder
8231	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Immune system disorder
8232	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Immune system disorder
8233	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	Metabolic disorder
8234	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Digestive system disorder
8235	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Immune system disorder
8236	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Immune system disorder
8237	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Neurological disorder
8238	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Immune system disorder
8239	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Immune system disorder
8240	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	Metabolic disorder
8241	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Digestive system disorder
8242	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Immune system disorder
8243	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Immune system disorder
8244	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Neurological disorder
8245	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Immune system disorder
8246	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Immune system disorder
8247	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	Metabolic disorder
8248	GCST005235	Hand grip strength	Hand grip strength	Other measurement
8249	GCST005233	Fat mass index	Fat mass index	Other measurement
8250	GCST005234	Lean mass index	Lean mass index	Other measurement
8251	GCST003153	Cirrhosis (alcohol related)	Cirrhosis (alcohol related)	Cancer
8252	GCST005828	Estradiol levels	Estradiol levels	Other measurement
8253	GCST005827	Estrone levels	Estrone levels	Other measurement
8254	GCST005313	Spontaneous preterm birth (preterm birth)	Spontaneous preterm birth (preterm birth)	Other measurement
8255	GCST005313	Spontaneous preterm birth (preterm birth)	Spontaneous preterm birth (preterm birth)	Other trait
8256	GCST004600	Eosinophil percentage of white cells	Eosinophil percentage of white cells	Hematological measurement
8257	GCST004602	Mean corpuscular volume	Mean corpuscular volume	Hematological measurement
8258	GCST004603	Platelet count	Platelet count	Hematological measurement
8259	GCST004604	Hematocrit	Hematocrit	Hematological measurement
8260	GCST004605	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	Hematological measurement
8261	GCST004605	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	Hematological measurement
8262	GCST004606	Eosinophil counts	Eosinophil counts	Hematological measurement
8263	GCST004607	Plateletcrit	Plateletcrit	Hematological measurement
8264	GCST004608	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	Hematological measurement
8265	GCST004609	Monocyte percentage of white cells	Monocyte percentage of white cells	Hematological measurement
8266	GCST004610	White blood cell count	White blood cell count	Hematological measurement
8267	GCST004610	White blood cell count	White blood cell count	Inflammatory measurement
8268	GCST004610	White blood cell count	White blood cell count	Hematological measurement
8269	GCST004610	White blood cell count	White blood cell count	Hematological measurement
8270	GCST004610	White blood cell count	White blood cell count	Hematological measurement
8271	GCST003210	Low vWF levels	Low vWF levels	Hematological measurement
8272	GCST004611	High light scatter reticulocyte count	High light scatter reticulocyte count	Hematological measurement
8273	GCST003207	Response to exercise (triglyceride level interaction)	Response to exercise (triglyceride level interaction)	Biological process
8274	GCST003207	Response to exercise (triglyceride level interaction)	Response to exercise (triglyceride level interaction)	Lipid or lipoprotein measurement
8275	GCST008151	Waist circumference	Waist circumference	Body measurement
8276	GCST008152	Weight	Weight	Body measurement
8277	GCST008153	Lean body mass	Lean body mass	Other measurement
8278	GCST008154	Trunk fat mass	Trunk fat mass	Other measurement
8279	GCST008155	Waist-hip ratio	Waist-hip ratio	Other measurement
8280	GCST008155	Waist-hip ratio	Waist-hip ratio	Body measurement
8281	GCST008156	Hip circumference adjusted for BMI	Hip circumference adjusted for BMI	Body measurement
8282	GCST008163	Height	Height	Other measurement
8283	GCST008163	Height	Height	Body measurement
8284	GCST008157	Body fat mass	Body fat mass	Other measurement
8285	GCST008158	Body mass index	Body mass index	Body measurement
8286	GCST008158	Body mass index	Body mass index	Body measurement
8287	GCST008158	Body mass index	Body mass index	Other measurement
8288	GCST008159	Waist-to-hip ratio adjusted for BMI	Waist-to-hip ratio adjusted for BMI	Body measurement
8289	GCST008161	Waist circumference adjusted for body mass index	Waist circumference adjusted for body mass index	Body measurement
8290	GCST008161	Waist circumference adjusted for body mass index	Waist circumference adjusted for body mass index	Other measurement
8291	GCST008160	Waist circumference	Waist circumference	Body measurement
8292	GCST008162	Hip circumference	Hip circumference	Body measurement
8293	GCST004787	Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)	Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)	Cardiovascular disease
8294	GCST004873	Endometriosis	Endometriosis	Other disease
8295	GCST004860	Alcoholic chronic pancreatitis	Alcoholic chronic pancreatitis	Digestive system disorder
8296	GCST004486	Major depressive disorder	Major depressive disorder	Neurological disorder
8297	GCST004403	Bone fracture in osteoporosis	Bone fracture in osteoporosis	Other disease
8298	GCST004403	Bone fracture in osteoporosis	Bone fracture in osteoporosis	Other disease
8299	GCST004413	Spontaneous dizygotic twinning	Spontaneous dizygotic twinning	Biological process
8300	GCST004638	Benign prostatic hyperplasia and/or lower urinary tract symptoms	Benign prostatic hyperplasia and/or lower urinary tract symptoms	Other disease
8301	GCST004638	Benign prostatic hyperplasia and/or lower urinary tract symptoms	Benign prostatic hyperplasia and/or lower urinary tract symptoms	Other trait
8302	GCST004253	Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	Neurological disorder
8303	GCST004253	Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	Other measurement
8304	GCST004253	Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	Other trait
8305	GCST004358	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	Other disease
8306	GCST004358	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	Immune system disorder
8307	GCST004358	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	Response to drug
8308	GCST003723	Serum sulfate level	Serum sulfate level	Other measurement
8309	GCST005523	Celiac disease	Celiac disease	Immune system disorder
8310	GCST005032	Early gestational weight gain (fetal effect)	Early gestational weight gain (fetal effect)	Other measurement
8311	GCST005032	Early gestational weight gain (fetal effect)	Early gestational weight gain (fetal effect)	Other measurement
8312	GCST005031	Gestational weight gain (fetal effect)	Gestational weight gain (fetal effect)	Other measurement
8313	GCST005031	Gestational weight gain (fetal effect)	Gestational weight gain (fetal effect)	Other measurement
8314	GCST005030	Late gestational weight gain (fetal effect)	Late gestational weight gain (fetal effect)	Other measurement
8315	GCST005030	Late gestational weight gain (fetal effect)	Late gestational weight gain (fetal effect)	Other measurement
8316	GCST005029	Early gestation weight gain (maternal effect)	Early gestation weight gain (maternal effect)	Other measurement
8317	GCST005034	Late gestational weight gain (maternal effect)	Late gestational weight gain (maternal effect)	Other measurement
8318	GCST005033	Gestational weight gain (maternal effect)	Gestational weight gain (maternal effect)	Other measurement
8319	GCST005096	Iris color (b* coordinate)	Iris color (b* coordinate)	Other measurement
8320	GCST005096	Iris color (b* coordinate)	Iris color (b* coordinate)	Other trait
8321	GCST005095	Iris heterochromicity	Iris heterochromicity	Other measurement
8322	GCST005095	Iris heterochromicity	Iris heterochromicity	Other trait
8323	GCST005084	Skin pigmentation	Skin pigmentation	Other trait
8324	GCST005084	Skin pigmentation	Skin pigmentation	Other measurement
8325	GCST005094	Iris color (L* coordinate)	Iris color (L* coordinate)	Other measurement
8326	GCST005094	Iris color (L* coordinate)	Iris color (L* coordinate)	Other trait
8327	GCST005093	Iris color (a* coordinate)	Iris color (a* coordinate)	Other measurement
8328	GCST005093	Iris color (a* coordinate)	Iris color (a* coordinate)	Other trait
8329	GCST005086	Visceral adipose tissue (sex interaction)	Visceral adipose tissue (sex interaction)	Other measurement
8330	GCST005086	Visceral adipose tissue (sex interaction)	Visceral adipose tissue (sex interaction)	Other measurement
8331	GCST005092	Subcutaneous adipose tissue (sex interaction)	Subcutaneous adipose tissue (sex interaction)	Other measurement
8332	GCST005092	Subcutaneous adipose tissue (sex interaction)	Subcutaneous adipose tissue (sex interaction)	Other measurement
8333	GCST005091	Subcutaneous adipose tissue	Subcutaneous adipose tissue	Other measurement
8334	GCST005090	Visceral adipose tissue/subcutaneous adipose tissue ratio (sex interaction)	Visceral adipose tissue/subcutaneous adipose tissue ratio (sex interaction)	Other measurement
8335	GCST005090	Visceral adipose tissue/subcutaneous adipose tissue ratio (sex interaction)	Visceral adipose tissue/subcutaneous adipose tissue ratio (sex interaction)	Other measurement
8336	GCST005089	Visceral adipose tissue/subcutaneous adipose tissue ratio	Visceral adipose tissue/subcutaneous adipose tissue ratio	Other measurement
8337	GCST005089	Visceral adipose tissue/subcutaneous adipose tissue ratio	Visceral adipose tissue/subcutaneous adipose tissue ratio	Other measurement
8338	GCST005088	Visceral adipose tissue adjusted for BMI (sex interaction)	Visceral adipose tissue adjusted for BMI (sex interaction)	Other measurement
8339	GCST005088	Visceral adipose tissue adjusted for BMI (sex interaction)	Visceral adipose tissue adjusted for BMI (sex interaction)	Other measurement
8340	GCST005087	Visceral adipose tissue adjusted for BMI	Visceral adipose tissue adjusted for BMI	Other measurement
8341	GCST005087	Visceral adipose tissue adjusted for BMI	Visceral adipose tissue adjusted for BMI	Body measurement
8342	GCST005085	Visceral adipose tissue	Visceral adipose tissue	Other measurement
8343	GCST005108	Major depressive disorder	Major depressive disorder	Neurological disorder
8344	GCST004866	Alopecia areata	Alopecia areata	Other disease
8345	GCST005154	Alloimmunization response to pregnancy (HLA class I and II)	Alloimmunization response to pregnancy (HLA class I and II)	Biological process
8346	GCST005156	Alloimmunization response to pregnancy (HLA class I)	Alloimmunization response to pregnancy (HLA class I)	Biological process
8347	GCST005157	Alloimmunization response to pregnancy (HLA class II)	Alloimmunization response to pregnancy (HLA class II)	Biological process
8348	GCST005155	Alloimmunization response to pregnancy	Alloimmunization response to pregnancy	Biological process
8349	GCST005238	Mood instability	Mood instability	Other measurement
8350	GCST005237	Mood instability	Mood instability	Other measurement
8351	GCST006800	Childhood insulin resistance	Childhood insulin resistance	Other trait
8352	GCST005109	Progranulin levels	Progranulin levels	Other measurement
8353	GCST004988	Breast cancer	Breast cancer	Cancer
8354	GCST005536	Type 1 diabetes	Type 1 diabetes	Metabolic disorder
8355	GCST005037	Appendicular lean mass	Appendicular lean mass	Other measurement
8356	GCST005036	Lean body mass	Lean body mass	Other measurement
8357	GCST004767	Schizophrenia (age at onset)	Schizophrenia (age at onset)	Neurological disorder
8358	GCST004767	Schizophrenia (age at onset)	Schizophrenia (age at onset)	Other measurement
8359	GCST004752	Relapse in multiple sclerosis	Relapse in multiple sclerosis	Immune system disorder
8360	GCST004752	Relapse in multiple sclerosis	Relapse in multiple sclerosis	Other measurement
8361	GCST004642	QT interval (ambient particulate matter interaction)	QT interval (ambient particulate matter interaction)	Other measurement
8362	GCST004642	QT interval (ambient particulate matter interaction)	QT interval (ambient particulate matter interaction)	Cardiovascular measurement
8363	GCST005539	Alopecia areata	Alopecia areata	Other disease
8364	GCST007577	Blood pressure (parental or offspring effect)	Blood pressure (parental or offspring effect)	Other measurement
8365	GCST004777	Diastolic blood pressure	Diastolic blood pressure	Other measurement
8366	GCST004777	Diastolic blood pressure	Diastolic blood pressure	Other measurement
8367	GCST004776	Systolic blood pressure	Systolic blood pressure	Other measurement
8368	GCST004776	Systolic blood pressure	Systolic blood pressure	Other measurement
8369	GCST004775	Pulse pressure	Pulse pressure	Cardiovascular measurement
8370	GCST004510	Sporadic neuroblastoma	Sporadic neuroblastoma	Cancer
8371	GCST003590	Apolipoprotein A-IV levels	Apolipoprotein A-IV levels	Lipid or lipoprotein measurement
8372	GCST004724	Foot ulcer in diabetes and neuropathy	Foot ulcer in diabetes and neuropathy	Cancer
8373	GCST004724	Foot ulcer in diabetes and neuropathy	Foot ulcer in diabetes and neuropathy	Neurological disorder
8374	GCST004724	Foot ulcer in diabetes and neuropathy	Foot ulcer in diabetes and neuropathy	Metabolic disorder
8375	GCST004724	Foot ulcer in diabetes and neuropathy	Foot ulcer in diabetes and neuropathy	Metabolic disorder
8376	GCST004725	Foot ulcer and neuropathy in diabetes	Foot ulcer and neuropathy in diabetes	Cancer
8377	GCST004725	Foot ulcer and neuropathy in diabetes	Foot ulcer and neuropathy in diabetes	Neurological disorder
8378	GCST004725	Foot ulcer and neuropathy in diabetes	Foot ulcer and neuropathy in diabetes	Metabolic disorder
8379	GCST004725	Foot ulcer and neuropathy in diabetes	Foot ulcer and neuropathy in diabetes	Metabolic disorder
8380	GCST004837	Lumbar spine bone mineral density or breast cancer (pleiotropy)	Lumbar spine bone mineral density or breast cancer (pleiotropy)	Cancer
8381	GCST004837	Lumbar spine bone mineral density or breast cancer (pleiotropy)	Lumbar spine bone mineral density or breast cancer (pleiotropy)	Other measurement
8382	GCST004836	Femoral neck bone mineral density or breast cancer (pleiotropy)	Femoral neck bone mineral density or breast cancer (pleiotropy)	Other measurement
8383	GCST004836	Femoral neck bone mineral density or breast cancer (pleiotropy)	Femoral neck bone mineral density or breast cancer (pleiotropy)	Cancer
8384	GCST004789	Change in LVEF in response to paclitaxel in HER2+ breast cancer	Change in LVEF in response to paclitaxel in HER2+ breast cancer	Cardiovascular measurement
8385	GCST004789	Change in LVEF in response to paclitaxel in HER2+ breast cancer	Change in LVEF in response to paclitaxel in HER2+ breast cancer	Response to drug
8386	GCST004790	Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer	Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer	Cardiovascular measurement
8387	GCST004790	Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer	Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer	Response to drug
8388	GCST004790	Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer	Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer	Response to drug
8389	GCST004788	Change in LVEF in response to paclitaxel and in response to paclitaxel and trastuzumab in HER+ breast cancer	Change in LVEF in response to paclitaxel and in response to paclitaxel and trastuzumab in HER+ breast cancer	Cardiovascular measurement
8390	GCST004788	Change in LVEF in response to paclitaxel and in response to paclitaxel and trastuzumab in HER+ breast cancer	Change in LVEF in response to paclitaxel and in response to paclitaxel and trastuzumab in HER+ breast cancer	Response to drug
8391	GCST004788	Change in LVEF in response to paclitaxel and in response to paclitaxel and trastuzumab in HER+ breast cancer	Change in LVEF in response to paclitaxel and in response to paclitaxel and trastuzumab in HER+ breast cancer	Response to drug
8392	GCST004773	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
8393	GCST004774	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
8394	GCST003589	Bronchial hyperresponsiveness in asthma	Bronchial hyperresponsiveness in asthma	Other disease
8395	GCST004736	Familial hepatitis B virus-related hepatocellular carcinoma	Familial hepatitis B virus-related hepatocellular carcinoma	Digestive system disorder
8396	GCST004736	Familial hepatitis B virus-related hepatocellular carcinoma	Familial hepatitis B virus-related hepatocellular carcinoma	Cancer
8397	GCST003655	Cutaneous squamous cell carcinoma	Cutaneous squamous cell carcinoma	Cancer
8398	GCST004372	Language performance in older adults (adjusted for episodic memory)	Language performance in older adults (adjusted for episodic memory)	Other measurement
8399	GCST004372	Language performance in older adults (adjusted for episodic memory)	Language performance in older adults (adjusted for episodic memory)	Other measurement
8400	GCST004372	Language performance in older adults (adjusted for episodic memory)	Language performance in older adults (adjusted for episodic memory)	Other measurement
8401	GCST003683	Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	Cardiovascular disease
8402	GCST003683	Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	Cardiovascular disease
8403	GCST003683	Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	Cardiovascular disease
8404	GCST003659	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	Body measurement
8405	GCST003659	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	Other measurement
8406	GCST005178	Modified Stumvoll Insulin Sensitivity Index	Modified Stumvoll Insulin Sensitivity Index	Other measurement
8407	GCST003658	Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	Body measurement
8408	GCST003658	Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	Other measurement
8409	GCST003843	Petaloid toenail	Petaloid toenail	Other trait
8410	GCST005240	Caudate volume in trauma-exposed individuals	Caudate volume in trauma-exposed individuals	Biological process
8411	GCST005240	Caudate volume in trauma-exposed individuals	Caudate volume in trauma-exposed individuals	Other measurement
8412	GCST005241	Nucleus accumbens volume in trauma-exposed individuals	Nucleus accumbens volume in trauma-exposed individuals	Other measurement
8413	GCST005241	Nucleus accumbens volume in trauma-exposed individuals	Nucleus accumbens volume in trauma-exposed individuals	Biological process
8414	GCST005242	Pallidum volume in trauma-exposed individuals	Pallidum volume in trauma-exposed individuals	Other measurement
8415	GCST005242	Pallidum volume in trauma-exposed individuals	Pallidum volume in trauma-exposed individuals	Biological process
8416	GCST005239	Amygdala volume in trauma-exposed individuals	Amygdala volume in trauma-exposed individuals	Other measurement
8417	GCST005239	Amygdala volume in trauma-exposed individuals	Amygdala volume in trauma-exposed individuals	Biological process
8418	GCST005243	Hippocampal volume in trauma-exposed individuals	Hippocampal volume in trauma-exposed individuals	Other measurement
8419	GCST005243	Hippocampal volume in trauma-exposed individuals	Hippocampal volume in trauma-exposed individuals	Biological process
8420	GCST005244	Putamen volume in trauma-exposed individuals	Putamen volume in trauma-exposed individuals	Other measurement
8421	GCST005244	Putamen volume in trauma-exposed individuals	Putamen volume in trauma-exposed individuals	Biological process
8422	GCST005286	Lateral ventricle volume in trauma-exposed individuals	Lateral ventricle volume in trauma-exposed individuals	Biological process
8423	GCST005286	Lateral ventricle volume in trauma-exposed individuals	Lateral ventricle volume in trauma-exposed individuals	Other measurement
8424	GCST005245	Thalamus volume in trauma-exposed individuals	Thalamus volume in trauma-exposed individuals	Other measurement
8425	GCST005245	Thalamus volume in trauma-exposed individuals	Thalamus volume in trauma-exposed individuals	Biological process
8426	GCST005192	Lobe attachment (rater-scored or self-reported)	Lobe attachment (rater-scored or self-reported)	Other trait
8427	GCST005193	Lobe attachment (rater scored)	Lobe attachment (rater scored)	Other trait
8428	GCST004740	Duloxetine response in major depressive disorder (remitter/non-remitter status)	Duloxetine response in major depressive disorder (remitter/non-remitter status)	Neurological disorder
8429	GCST004740	Duloxetine response in major depressive disorder (remitter/non-remitter status)	Duloxetine response in major depressive disorder (remitter/non-remitter status)	Response to drug
8430	GCST004741	Duloxetine response in major depressive disorder (responder/non-responder status)	Duloxetine response in major depressive disorder (responder/non-responder status)	Neurological disorder
8431	GCST004741	Duloxetine response in major depressive disorder (responder/non-responder status)	Duloxetine response in major depressive disorder (responder/non-responder status)	Response to drug
8432	GCST004742	Placebo response in major depressive disorder (remitter/non-remitter status)	Placebo response in major depressive disorder (remitter/non-remitter status)	Neurological disorder
8433	GCST004742	Placebo response in major depressive disorder (remitter/non-remitter status)	Placebo response in major depressive disorder (remitter/non-remitter status)	Biological process
8434	GCST004743	Placebo response in major depressive disorder (responder/non-responder status)	Placebo response in major depressive disorder (responder/non-responder status)	Neurological disorder
8435	GCST004743	Placebo response in major depressive disorder (responder/non-responder status)	Placebo response in major depressive disorder (responder/non-responder status)	Biological process
8436	GCST004738	Duloxetine response in major depressive disorder (% change in symptom score)	Duloxetine response in major depressive disorder (% change in symptom score)	Neurological disorder
8437	GCST004738	Duloxetine response in major depressive disorder (% change in symptom score)	Duloxetine response in major depressive disorder (% change in symptom score)	Response to drug
8438	GCST004739	Placebo response in major depressive disorder (% change in symptom score)	Placebo response in major depressive disorder (% change in symptom score)	Neurological disorder
8439	GCST004739	Placebo response in major depressive disorder (% change in symptom score)	Placebo response in major depressive disorder (% change in symptom score)	Biological process
8440	GCST004824	P wave terminal force	P wave terminal force	Cardiovascular measurement
8441	GCST004826	P wave duration	P wave duration	Cardiovascular measurement
8442	GCST005181	Body mass index	Body mass index	Body measurement
8443	GCST005181	Body mass index	Body mass index	Body measurement
8444	GCST005181	Body mass index	Body mass index	Other measurement
